id,ts,packet_nbr,gnss_lon,gnss_lat,gnss_alt,gnss_vertical_speed,N2_pressure,fuel_pressure,LOX_pressure,fuel_inj_pressure,chamber_pressure,lox_inj_pressure,N2_temp,LOX_temp,LOX_inj_temp,lpb_voltage,lpb_current,hpb_voltage,hpb_current,av_fc_temp,ambient_temp,engine_state,av_state,cam_rec
29066,2025-09-14T10:33:41.964Z,20181,6.71435546875,46.5364990234375,810,0,24,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29067,2025-09-14T10:33:42.143Z,20182,6.71435546875,46.5364990234375,810,0,24,0,0,0,0,0,24,0,-12,3.875,0,0,0,52,0,48,2,0
29068,2025-09-14T10:33:42.323Z,20183,6.71435546875,46.5364990234375,810,0,24,0,0,0,0,0,24,0,0,3.875,0,0,0,52,0,48,2,0
29069,2025-09-14T10:33:42.501Z,20184,6.71435546875,46.5364990234375,810,0,24,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29070,2025-09-14T10:33:42.661Z,20185,6.71435546875,46.5364990234375,810,0,24,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29071,2025-09-14T10:33:42.878Z,20186,6.71435546875,46.5364990234375,810,0,26,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29072,2025-09-14T10:33:43.057Z,20187,6.71435546875,46.5364990234375,810,0,26,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29074,2025-09-14T10:33:43.427Z,20189,6.71435546875,46.5364990234375,810,0,26,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29075,2025-09-14T10:33:43.605Z,20190,6.71435546875,46.5364990234375,810,0,26,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29076,2025-09-14T10:33:43.788Z,20191,6.71435546875,46.5364990234375,810,0,28,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29077,2025-09-14T10:33:43.966Z,20192,6.71435546875,46.5364990234375,810,0,28,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29078,2025-09-14T10:33:44.144Z,20193,6.71435546875,46.5364990234375,810,0,28,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29079,2025-09-14T10:33:44.325Z,20194,6.71435546875,46.5364990234375,810,0,28,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29080,2025-09-14T10:33:44.506Z,20195,6.71435546875,46.5364990234375,810,0,28,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29081,2025-09-14T10:33:44.717Z,20196,6.71435546875,46.5364990234375,810,0,28,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29082,2025-09-14T10:33:44.898Z,20197,6.71435546875,46.5364990234375,810,0,30,0,0,0,0,127.900001525879,24,0,22,3.875,0,0,0,52,0,48,2,0
29083,2025-09-14T10:33:45.077Z,20198,6.71435546875,46.5364990234375,810,0,30,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29084,2025-09-14T10:33:45.264Z,20199,6.71435546875,46.5364990234375,810,0,30,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29085,2025-09-14T10:33:45.445Z,20200,6.71435546875,46.5364990234375,810,0,30,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29086,2025-09-14T10:33:45.612Z,20201,6.71435546875,46.5364990234375,810,0,30,0,0,0,0,0,24,0,22,3.75,0,0,0,52,0,48,2,0
29087,2025-09-14T10:33:45.790Z,20202,6.71435546875,46.5364990234375,810,0,32,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29088,2025-09-14T10:33:45.971Z,20203,6.71435546875,46.5364990234375,810,0,32,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29089,2025-09-14T10:33:46.150Z,20204,6.71435546875,46.5364990234375,810,0,32,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29090,2025-09-14T10:33:46.329Z,20205,6.71435546875,46.5364990234375,810,0,32,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29091,2025-09-14T10:33:46.645Z,20206,6.71435546875,46.5364990234375,810,0,32,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29092,2025-09-14T10:33:46.834Z,20207,6.71435546875,46.5364990234375,810,0,34,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29093,2025-09-14T10:33:47.016Z,20208,6.71435546875,46.5364990234375,810,0,34,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29094,2025-09-14T10:33:47.210Z,20209,6.71435546875,46.5364990234375,810,0,34,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29095,2025-09-14T10:33:47.411Z,20210,6.71435546875,46.5364990234375,810,0,34,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29096,2025-09-14T10:33:47.587Z,20211,6.71435546875,46.5364990234375,810,0,34,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29097,2025-09-14T10:33:47.766Z,20212,6.71435546875,46.5364990234375,810,0,36,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29098,2025-09-14T10:33:47.947Z,20213,6.71435546875,46.5364990234375,810,0,36,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29099,2025-09-14T10:33:48.131Z,20214,6.71435546875,46.5364990234375,810,0,36,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29100,2025-09-14T10:33:48.384Z,20215,6.71435546875,46.5364990234375,810,0,36,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29101,2025-09-14T10:33:48.566Z,20216,6.71435546875,46.5364990234375,810,0,36,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29102,2025-09-14T10:33:48.754Z,20217,6.71435546875,46.5364990234375,810,0,38,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29103,2025-09-14T10:33:48.938Z,20218,6.71435546875,46.5364990234375,810,0,38,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29104,2025-09-14T10:33:49.096Z,20219,6.71435546875,46.5364990234375,810,0,38,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29105,2025-09-14T10:33:49.315Z,20220,6.71435546875,46.5364990234375,810,0,38,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29106,2025-09-14T10:33:49.499Z,20221,6.71435546875,46.5364990234375,810,0,38,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29107,2025-09-14T10:33:49.679Z,20222,6.71435546875,46.5364990234375,810,0,40,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29108,2025-09-14T10:33:49.857Z,20223,6.71435546875,46.5364990234375,810,0,40,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29109,2025-09-14T10:33:50.038Z,20224,6.71435546875,46.5364990234375,810,0,40,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29110,2025-09-14T10:33:50.215Z,20225,6.71435546875,46.5364990234375,810,0,40,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29111,2025-09-14T10:33:50.393Z,20226,6.71435546875,46.5364990234375,810,0,40,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29112,2025-09-14T10:33:50.573Z,20227,6.71435546875,46.5364990234375,810,0,42,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29113,2025-09-14T10:33:50.744Z,20228,6.71435546875,46.5364990234375,810,0,42,0,0,0,0,127.900001525879,24,0,24,3.75,0,0,0,52,0,48,2,0
29114,2025-09-14T10:33:50.904Z,20229,6.71435546875,46.5364990234375,810,0,42,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29115,2025-09-14T10:33:51.182Z,20230,6.71435546875,46.5364990234375,810,0,42,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29116,2025-09-14T10:33:51.377Z,20231,6.71435546875,46.5364990234375,810,0,42,0,0,0,0,127.900001525879,24,0,22,3.875,0,0,0,52,0,48,2,0
29117,2025-09-14T10:33:51.551Z,20232,6.71435546875,46.5364990234375,810,0,44,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29118,2025-09-14T10:33:51.730Z,20233,6.71435546875,46.5364990234375,810,0,44,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29119,2025-09-14T10:33:51.908Z,20234,6.71435546875,46.5364990234375,810,0,44,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29120,2025-09-14T10:33:52.090Z,20235,6.71435546875,46.5364990234375,810,0,44,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29121,2025-09-14T10:33:52.273Z,20236,6.71435546875,46.5364990234375,810,0,44,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29122,2025-09-14T10:33:52.451Z,20237,6.71435546875,46.5364990234375,810,0,44,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29123,2025-09-14T10:33:52.633Z,20238,6.71435546875,46.5364990234375,810,0,46,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29124,2025-09-14T10:33:52.814Z,20239,6.71435546875,46.5364990234375,810,0,46,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29125,2025-09-14T10:33:52.996Z,20240,6.71435546875,46.5364990234375,810,0,46,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29126,2025-09-14T10:33:53.179Z,20241,6.71435546875,46.5364990234375,810,0,46,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29127,2025-09-14T10:33:53.338Z,20242,6.71435546875,46.5364990234375,810,0,46,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29129,2025-09-14T10:33:53.696Z,20244,6.71435546875,46.5364990234375,810,0,48,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29130,2025-09-14T10:33:53.875Z,20245,6.71435546875,46.5364990234375,810,0,48,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29131,2025-09-14T10:33:54.055Z,20246,6.71435546875,46.5364990234375,810,0,48,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29132,2025-09-14T10:33:54.231Z,20247,6.71435546875,46.5364990234375,810,0,48,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29133,2025-09-14T10:33:54.413Z,20248,6.71435546875,46.5364990234375,810,0,48,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29134,2025-09-14T10:33:54.593Z,20249,6.71435546875,46.5364990234375,810,0,50,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29136,2025-09-14T10:33:54.964Z,20251,6.71435546875,46.5364990234375,810,0,50,0,0,0,0,127.900001525879,24,0,22,3.875,0,0,0,52,0,48,2,0
29138,2025-09-14T10:33:55.315Z,20253,6.71435546875,46.5364990234375,810,0,50,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29139,2025-09-14T10:33:55.472Z,20254,6.71435546875,46.5364990234375,810,0,52,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29140,2025-09-14T10:33:55.732Z,20255,6.71435546875,46.5364990234375,810,0,52,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29141,2025-09-14T10:33:55.906Z,20256,6.71435546875,46.5364990234375,810,0,52,0,0,0,0,0,24,0,22,3.75,0,0,0,52,0,48,2,0
29142,2025-09-14T10:33:56.084Z,20257,6.71435546875,46.5364990234375,810,0,52,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29143,2025-09-14T10:33:56.262Z,20258,6.71435546875,46.5364990234375,810,0,52,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29144,2025-09-14T10:33:56.442Z,20259,6.71435546875,46.5364990234375,810,0,54,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29145,2025-09-14T10:33:56.608Z,20260,6.71435546875,46.5364990234375,810,0,54,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29146,2025-09-14T10:33:56.789Z,20261,6.71435546875,46.5364990234375,810,0,54,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29147,2025-09-14T10:33:56.969Z,20262,6.71435546875,46.5364990234375,810,0,54,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29149,2025-09-14T10:33:57.343Z,20264,6.71435546875,46.5364990234375,810,0,56,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29150,2025-09-14T10:33:57.524Z,20265,6.71435546875,46.5364990234375,810,0,56,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29152,2025-09-14T10:33:57.881Z,20267,6.71435546875,46.5364990234375,810,0,56,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29153,2025-09-14T10:33:58.061Z,20268,6.71435546875,46.5364990234375,810,0,56,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29154,2025-09-14T10:33:58.240Z,20269,6.71435546875,46.5364990234375,810,0,56,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29155,2025-09-14T10:33:58.455Z,20270,6.71435546875,46.5364990234375,810,0,58,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29156,2025-09-14T10:33:58.613Z,20271,6.71435546875,46.5364990234375,810,0,58,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29157,2025-09-14T10:33:58.791Z,20272,6.71435546875,46.5364990234375,810,0,58,0,0,0,0,127.900001525879,24,0,24,3.75,0,0,0,52,0,48,2,0
29158,2025-09-14T10:33:58.970Z,20273,6.71435546875,46.5364990234375,810,0,58,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29159,2025-09-14T10:33:59.161Z,20274,6.71435546875,46.5364990234375,810,0,58,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29160,2025-09-14T10:33:59.377Z,20275,6.71435546875,46.5364990234375,810,0,60,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29161,2025-09-14T10:33:59.556Z,20276,6.71435546875,46.5364990234375,810,0,60,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29162,2025-09-14T10:33:59.732Z,20277,6.71435546875,46.5364990234375,810,0,60,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29163,2025-09-14T10:33:59.914Z,20278,6.71435546875,46.5364990234375,810,0,60,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29164,2025-09-14T10:34:00.094Z,20279,6.71435546875,46.5364990234375,810,0,60,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29165,2025-09-14T10:34:00.312Z,20280,6.71435546875,46.5364990234375,810,0,62,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29166,2025-09-14T10:34:00.491Z,20281,6.71435546875,46.5364990234375,810,0,62,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29167,2025-09-14T10:34:00.672Z,20282,6.71435546875,46.5364990234375,810,0,62,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29168,2025-09-14T10:34:00.856Z,20283,6.71435546875,46.5364990234375,810,0,62,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29169,2025-09-14T10:34:01.032Z,20284,6.71435546875,46.5364990234375,810,0,62,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29170,2025-09-14T10:34:01.247Z,20285,6.71435546875,46.5364990234375,810,0,64,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29171,2025-09-14T10:34:01.427Z,20286,6.71435546875,46.5364990234375,810,0,64,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29172,2025-09-14T10:34:01.607Z,20287,6.71435546875,46.5364990234375,810,0,64,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29173,2025-09-14T10:34:01.785Z,20288,6.71435546875,46.5364990234375,810,0,64,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29174,2025-09-14T10:34:01.965Z,20289,6.71435546875,46.5364990234375,810,0,64,0,0,0,0,127.900001525879,24,0,22,3.875,0,0,0,52,0,48,2,0
29175,2025-09-14T10:34:02.146Z,20290,6.71435546875,46.5364990234375,810,0,64,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29176,2025-09-14T10:34:02.324Z,20291,6.71435546875,46.5364990234375,810,0,66,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29178,2025-09-14T10:34:02.693Z,20293,6.71435546875,46.5364990234375,810,0,66,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29179,2025-09-14T10:34:02.874Z,20294,6.71435546875,46.5364990234375,810,0,66,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29180,2025-09-14T10:34:03.061Z,20295,6.71435546875,46.5364990234375,810,0,66,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29181,2025-09-14T10:34:03.646Z,20298,6.71435546875,46.5364990234375,810,0,68,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29182,2025-09-14T10:34:03.824Z,20299,6.71435546875,46.5364990234375,810,0,68,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29183,2025-09-14T10:34:04.005Z,20300,6.71435546875,46.5364990234375,810,0,68,0,0,0,0,127.900001525879,24,0,22,3.875,0,0,0,52,0,48,2,0
29184,2025-09-14T10:34:04.181Z,20301,6.71435546875,46.5364990234375,810,0,70,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29185,2025-09-14T10:34:04.355Z,20302,6.71435546875,46.5364990234375,810,0,70,0,0,0,0,0,24,0,22,3.875,0,0,0,52,0,48,2,0
29186,2025-09-14T10:34:04.533Z,20303,6.71435546875,46.5364990234375,810,0,70,0,0,0,0,127.900001525879,24,0,24,3.875,0,0,0,52,0,48,2,0
29187,2025-09-14T10:34:04.711Z,20304,6.71435546875,46.5364990234375,810,0,70,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
29188,2025-09-14T10:34:04.893Z,20305,6.71435546875,46.5364990234375,810,0,70,0,0,0,0,0,24,0,24,3.75,0,0,0,52,0,48,2,0
29189,2025-09-14T10:34:05.082Z,20306,6.71435546875,46.5364990234375,810,0,70,0,0,0,0,127.900001525879,24,0,-2,3.875,0,0,0,52,0,48,2,0
29190,2025-09-14T10:34:05.267Z,20307,6.71435546875,46.5364990234375,810,0,72,0,0,0,0,0,24,0,24,3.875,0,0,0,52,0,48,2,0
